numero_compteur,avg_amperage_per_day,median_amperage_per_day,avg_depense_per_day,jours_observed,records_per_day_avg,zone,type_maison,nombre_personnes,ratio_depense_amperage,niveau_conso,niveau_conso_pred,prob_petit,prob_moyen,prob_grand,confiance
SGJR_00312,1.5222222222222221,0.925,0.015860555555555555,18,15.666666666666666,Janrabel,Rezidansyel,4.0,0.010419343058848606,moyen,moyen,0.00021227438,0.99956924,0.00021845469,0.99956924
SGJR_00319,6.852631578947368,2.08,0.07545543859649122,19,16.31578947368421,Janrabel,Rezidansyel,4.0,0.011011162312781268,grand,petit,0.99954057,0.0002627553,0.00019675953,0.99954057
SGJR_00320,4.32,5.17,0.0504,3,31.333333333333332,Janrabel,Rezidansyel,4.0,0.011666666663966048,grand,petit,0.9993316,0.00041117475,0.00025729297,0.9993316
SGJR_00325,0.3283333333333333,0.19,0.0032344444444444443,6,12.5,Janrabel,Rezidansyel,4.0,0.009851099800791912,petit,grand,0.0001624868,0.00026669432,0.9995708,0.9995708
SGJR_00332,2.062439024390244,0.48,0.018889132791327916,123,14.097560975609756,Janrabel,Rezidansyel,4.0,0.00915863817489286,moyen,moyen,0.0003534296,0.9994367,0.00020984131,0.9994367
SGJR_00337,1.1767307692307691,0.395,0.011360192307692307,52,11.01923076923077,Janrabel,Rezidansyel,4.0,0.009654028427814848,petit,grand,0.00016731564,0.00038318057,0.99944955,0.99944955
SGJR_00338,10.105272727272727,1.4,0.1016390303030303,55,11.818181818181818,Janrabel,Rezidansyel,4.0,0.010058019514769024,grand,petit,0.99942684,0.00039850673,0.00017473001,0.99942684
SGJR_00339,1.456470588235294,0.53,0.015455196078431373,34,14.588235294117647,Janrabel,Rezidansyel,4.0,0.010611402792929705,moyen,moyen,0.00015061635,0.9996557,0.00019362647,0.9996557
SGJR_0034,3.7838797814207648,0.8500000000000001,0.0389227868852459,183,19.39344262295082,Janrabel,Rezidansyel,4.0,0.010286475555083507,grand,petit,0.9959084,0.0035352153,0.00055645494,0.9959084
SGJR_00340,0.8191228070175438,0.52,0.009194970760233918,57,9.43859649122807,Janrabel,Rezidansyel,4.0,0.01122538729264267,petit,grand,0.00015325984,0.00033966594,0.99950707,0.99950707
